10,-2.8125,-0.46875,4.7124
10.017,-2.8073,-0.46875,4.7124
10.117,-2.776,-0.46875,4.7124
10.217,-2.7448,-0.46875,4.7124
10.317,-2.7135,-0.46875,4.7124
10.4,-2.6875,-0.46875,4.7124
10.483,-2.6615,-0.46875,4.7124
10.567,-2.6354,-0.46875,4.7124
10.667,-2.6042,-0.46875,4.7124
10.767,-2.5729,-0.46875,4.7124
10.85,-2.5469,-0.46875,4.7124
10.967,-2.5104,-0.46875,4.7124
11.05,-2.4844,-0.46875,4.7124
11.15,-2.4531,-0.46875,4.7124
11.233,-2.4271,-0.46875,4.7124
11.333,-2.3958,-0.46875,4.7124
11.417,-2.3698,-0.46875,4.7124
11.517,-2.3386,-0.46875,4.7124
11.6,-2.3125,-0.46875,4.7124
11.7,-2.2813,-0.46875,4.7124
11.783,-2.2552,-0.46875,4.7124
11.883,-2.224,-0.46875,4.7124
11.983,-2.1927,-0.46875,4.7124
12.067,-2.1667,-0.46875,4.7124
12.167,-2.1354,-0.46875,4.7124
12.25,-2.1094,-0.46875,4.7124
12.333,-2.0833,-0.46875,4.7124
12.433,-2.0521,-0.46875,4.7124
12.533,-2.0208,-0.46875,4.7124
12.617,-1.9948,-0.46875,4.7124
12.717,-1.9636,-0.46875,4.7124
12.817,-1.9323,-0.46875,4.7124
12.9,-1.9063,-0.46875,4.7124
13,-1.875,-0.46875,4.7124
13.083,-1.849,-0.46875,4.7124
13.183,-1.8177,-0.46875,4.7124
13.267,-1.7917,-0.46875,4.7124
13.367,-1.7604,-0.46875,4.7124
13.467,-1.7292,-0.46875,4.7124
13.55,-1.7031,-0.46875,4.7124
13.65,-1.6719,-0.46875,4.7124
13.75,-1.6407,-0.46875,4.7124
13.833,-1.6146,-0.46875,4.7124
13.917,-1.5886,-0.46875,4.7124
14.017,-1.5573,-0.46875,4.7124
14.117,-1.5261,-0.46875,4.7124
14.2,-1.5,-0.46875,4.7124
14.283,-1.474,-0.46875,4.7124
14.383,-1.4427,-0.46875,4.7124
14.483,-1.4115,-0.46875,4.7124
14.583,-1.3802,-0.46875,4.7124
14.667,-1.3542,-0.46875,4.7124
14.767,-1.323,-0.46875,4.7124
14.85,-1.2969,-0.46875,4.7124
14.933,-1.2709,-0.46875,4.7124
15.033,-1.2396,-0.46875,4.7124
15.133,-1.2084,-0.46875,4.7124
15.217,-1.1823,-0.46875,4.7124
15.333,-1.1459,-0.46875,4.7124
15.417,-1.1198,-0.46875,4.7124
15.5,-1.0938,-0.46875,4.7124
15.583,-1.0677,-0.46875,4.7124
15.667,-1.0417,-0.46875,4.7124
15.767,-1.0105,-0.46875,4.7124
15.867,-0.97921,-0.46875,4.7124
15.967,-0.94796,-0.46875,4.7124
16.05,-0.92192,-0.46875,4.7124
16.15,-0.89067,-0.46875,4.7124
16.233,-0.86463,-0.46875,4.7124
16.317,-0.83859,-0.46875,4.7124
16.417,-0.80734,-0.46875,4.7124
16.517,-0.77609,-0.46875,4.7124
16.617,-0.74484,-0.46875,4.7124
16.7,-0.7188,-0.46875,4.7124
16.8,-0.68755,-0.46875,4.7124
16.9,-0.6563,-0.46875,4.7124
17,-0.62505,-0.46875,4.7124
17.083,-0.59901,-0.46875,4.7124
17.167,-0.57297,-0.46875,4.7124
17.266,-0.54172,-0.46875,4.7124
17.366,-0.51047,-0.46875,4.7124
17.45,-0.48443,-0.46875,4.7124
17.533,-0.45839,-0.46875,4.7124
17.65,-0.42193,-0.46875,4.7124
17.733,-0.39589,-0.46875,4.7124
17.816,-0.36985,-0.46875,4.7124
17.9,-0.34381,-0.46875,4.7124
18,-0.31256,-0.46875,4.7124
